filepath,processed_filepath,split,label,class_index,width,height,mode,image_format,file_size_bytes,raw_sha256,processed_sha256,status,note
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1001.jpg,data/processed/train/fire/fire_train_1001.jpg,train,fire,0,250,250,RGB,JPEG,14068,f7ff95f97d88e6cfd7b446908af5e8a4be956521d84126e0bcd2f29e7a068d2c,87873f976a4286366fbbaa62598b8aeb3531aeccb21be2deb0a4cd3be588fc0f,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1002.jpg,data/processed/train/fire/fire_train_1002.jpg,train,fire,0,250,250,RGB,JPEG,13204,e2fcbdefe689b7f05e7865e69e3483e2592cf66888f34131ab61ed21d497c4a8,04ff0497002f6e9b7024b17442d2c3e9bb7af96d33da3ebcf930035a85ff8e91,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1003.jpg,data/processed/train/fire/fire_train_1003.jpg,train,fire,0,250,250,RGB,JPEG,6041,3d13bb89aaff7fdce02c301318c308656eb4b11e48ef64ec1429df5af5d0e4a0,2a81a826805fbcba4888b6dba1990a33a90b0dfb6c450816b59dff2fa28f46f2,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1004.jpg,data/processed/train/fire/fire_train_1004.jpg,train,fire,0,250,250,RGB,JPEG,8943,a5c930f133e5effd92a965caab7268b8ba9a5632107909c1bf97c7101c2edbd4,c3697c680a5fc097eee563a63e9d11b3a9fa8de2fc674c5e446cbb0f1826932f,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1005.jpg,data/processed/train/fire/fire_train_1005.jpg,train,fire,0,250,250,RGB,JPEG,3971,e7b619d833020ae3cf2745e7f8edf00bda4aed4a3aaa105ab636118a42dda079,06bba91a14052701cf989b11285bd2986f01cc3323d877c8fb3a3274890c1be0,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1006.jpg,data/processed/train/fire/fire_train_1006.jpg,train,fire,0,250,250,RGB,JPEG,6847,789cb9683b9a250a742470548bea10df1501c922c3a1eb9a1c65ea2f5312592e,40584ce1bd3cefa362325f3638afe4b0bc63922e2aa082407708a181af33cd3a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1007.jpg,data/processed/train/fire/fire_train_1007.jpg,train,fire,0,250,250,RGB,JPEG,8225,d176d1ed4d5e5091062f0a8635329106222f54ff1b9723b917ad7f4067c148f8,d45dff57707cdef64a7da97d56c04b6d7a434a7b0bcedecbc0a558954e4a4f4a,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1008.jpg,data/processed/train/fire/fire_train_1008.jpg,train,fire,0,250,250,RGB,JPEG,7415,7e736e0eb76ec6452f94cb9dd5c614820a29cefb6fcf1542d7f3038ee407a100,e79d4a66d2440543b53495c48e209e20f4dbb14ef26046f88f50b6cec9ee4b93,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1009.jpg,data/processed/train/fire/fire_train_1009.jpg,train,fire,0,250,250,RGB,JPEG,5155,f957bd49c9f9cfba6b7e535f98e98880b5306c178cb96c2732346d259f42fd4a,a2a19863ea8ef64d3d5be49da52a0292772895ccd41d2079c7f14d37083635ad,ok,raw_size_not_target
../dataset/Forect Fire/Forest Fire_Dataset/train/fire/fire_train_1010.jpg,data/processed/train/fire/fire_train_1010.jpg,train,fire,0,250,250,RGB,JPEG,7081,b8273e81b07a3a4cbebd5b8ab6654e504ee32eb9409033878a457d6334814b42,433202bb5bb840dbae1bd5ad2cb053bb46a6d3ad3413ff07a5d7cd8840855cc4,ok,raw_size_not_target
